Match,Date,Bet,Return,Gain,Meta,Odds,Bet Type,Balance,Comments
"Real Madrid @ 2.30
$20.00 Single",05/26/2018 11:14:25,20,46,26,UCL,2.3,regular,226,
"GS Warriors -6.5 @ 1.90
$10.00 Single",05/28/2018 8:37:48,10,19.1,9.1,NBA,1.9,regular,235.1,
"Spain @ 1.95
$50.00 Single",05/29/2018 14:17:23,50,50,0,WC,1.95,regular,235.1,
"GS Warriors -11.5 @ 1.90
$20.00 Single",06/02/2018 13:34:35,20,38.19,18.19,NBA,1.9,regular,253.29,
"England @ 1.44
$20.00 Single",06/12/2018 10:27:39,20,20,0,WC,1.44,regular,253.29,
"Spain @ 2.10
$33.29 Single",06/13/2018 7:16:40,33.29,0,-33.29,WC,2.1,regular,220,
"France @ 1.25
$50.00 Single",06/13/2018 13:46:09,50,62.5,12.5,WC,1.25,regular,232.5,
"Draw @ 4.50
$5.00 Single",06/13/2018 20:45:55,5,4.5,-0.5,WC,4.5,regular,232,
"Draw @ 4.33
$5.00 Single",06/14/2018 8:26:03,5,0,-5,WC,4.33,regular,227,
"Egypt @ 9.00
$5.00 Single",06/15/2018 5:45:39,5,5,0,WC,9,regular,227,
"Draw @ 4.00
$5.00 Single",06/15/2018 6:09:05,5,0,-5,WC,4,regular,222,
"Spain @ 4.33
$10.00 Single",06/15/2018 13:22:37,10,0,-10,WC,4.33,regular,212,
"Spain @ 4.75
$5.00 Single",06/15/2018 13:58:24,5,0,-5,WC,4.75,regular,207,
"Draw @ 5.00
$5.00 Single",06/16/2018 6:57:54,5,25,20,WC,5,regular,227,
"Egypt @ 2.37
$27.00 Single",06/16/2018 10:38:17,27,0,-27,WC,2.37,regular,200,
"Peru @ 19.00
$5.00 Single",06/16/2018 12:20:17,5,0,-5,WC,19,regular,195,
"Peru @ 19.00
$5.00 Single",06/16/2018 12:22:49,5,0,-5,WC,19,regular,190,
"Germany -1.0,-1.5 @ 2.070
$50.00 Single",06/17/2018 5:13:59,50,50,0,WC,2.07,regular,190,
"Germany -1.0,-1.5 @ 2.070
$30.00 Single",06/17/2018 5:15:01,30,0,-30,WC,2.07,regular,160,
"Sweden 0.0,-0.5 @ 1.930
$20.00 Single",06/18/2018 6:35:41,20,38.6,18.6,WC,1.93,regular,178.6,
"Over 2.5 @ 1.70
$20.00 Single",06/18/2018 9:25:53,20,34,14,WC,1.7,goals,192.6,
"Morocco +0.5,+1.0 @ 2.080
$20.00 Single",06/18/2018 17:47:26,20,20,0,WC,2.08,regular,192.6,
"Egypt +0.5 @ 1.830
$12.60 Single",06/18/2018 18:34:05,12.6,12.6,0,WC,1.83,regular,192.6,
"Colombia @ 1.75
$22.60 Single",06/18/2018 20:38:44,22.6,0,-22.6,WC,1.75,regular,170,
"Over 2.0,2.5 @ 1.930
$20.00 Single",06/20/2018 6:44:56,20,0,-20,WC,1.93,goals,150,
"Saudi Arabia +1.5,+2.0 @ 1.960
$20.00 Single",06/20/2018 9:55:16,20,39.2,19.2,WC,1.96,regular,169.2,
"Australia +0.5 @ 1.980
$20.00 Single",06/21/2018 6:37:29,20,20,0,WC,1.98,regular,169.2,
"Australia +0.5 @ 2.010
$20.00 Single",06/21/2018 6:49:41,20,40.2,20.2,WC,2.01,regular,189.4,
"Over 2.0,2.5 @ 2.125
$20.00 Single",06/21/2018 7:56:04,20,0,-20,WC,2.125,goals,169.4,
"Over 2.0 @ 1.810
$19.40 Single",06/21/2018 9:48:09,19.4,0,-19.4,WC,1.81,goals,150,
"Serbia @ 3.75
$10.00 Single",06/22/2018 14:29:56,10,0,-10,WC,3.75,regular,140,
"South Korea +0.5,+1.0 @ 1.920
$20.00 Single",06/23/2018 6:46:37,20,19,-1,WC,1.92,regular,139,
"No @ 2.05
$20.00 Single",06/23/2018 9:08:41,20,0,-20,WC,2.05,both score,119,
"No @ 2.05
$19.00 Single",06/23/2018 9:45:02,19,0,-19,WC,2.05,both score,100,
"No @ 1.70
$20.00 Single",06/24/2018 9:51:07,20,0,-20,WC,1.7,both score,80,
"Colombia 0.0,-0.5 @ 1.890
$30.00 Single",06/24/2018 11:54:08,30,56.7,26.7,WC,1.89,regular,106.7,
"Yes @ 1.95
$20.00 Single",06/24/2018 17:20:21,20,39,19,WC,1.95,both score,125.7,
"Under 9.5 @ 1.900
$15.70 Single",06/25/2018 12:43:24,15.7,29.83,14.13,WC,1.9,goals,139.83,
"Australia 0.0 @ 1.850
$19.83 Single",06/25/2018 16:25:22,19.83,36.69,16.86,WC,1.85,regular,156.69,
"Nigeria @ 6.25
$5.00 Single",06/26/2018 8:15:16,5,0,-5,WC,6.25,regular,151.69,
"Nigeria @ 29.00
$1.69 Single",06/26/2018 13:51:31,1.69,0,-1.69,WC,29,regular,150,
"No @ 1.90
$20.00 Single",06/26/2018 20:01:11,20,20,0,WC,1.9,both score,150,
"France 0.0,-0.5 @ 2.040
$30.00 Single",06/26/2018 20:48:13,30,61.2,31.2,WC,2.04,regular,181.2,
"France @ 2.40
$20.00 Single",06/26/2018 21:06:07,20,48,28,WC,2.4,regular,209.2,
"France 0.0,-0.5 @ 1.990
$20.00 Single",06/27/2018 5:49:29,20,39.8,19.8,WC,1.99,regular,229,
"Sweden -0.5 @ 1.975
$20.00 Single",06/27/2018 8:00:28,20,0,-20,WC,1.975,regular,209,
"Serbia 1-0 @ 21.00
$5.00 Single",06/27/2018 12:57:35,5,0,-5,WC,21,regular,204,
"Serbia @ 29.00
$5.00 Single",06/27/2018 14:15:34,5,0,-5,WC,29,regular,199,
"France 0.0,-0.5 @ 2.040
$30.00 Single",06/30/2018 8:20:07,30,61.2,31.2,WC,2.04,regular,230.2,
"France @ 2.37
$20.00 Single",06/30/2018 8:25:29,20,47.5,27.5,WC,2.37,regular,257.7,
"Uruguay 0.0 @ 2.010
$30.00 Single",06/30/2018 11:33:38,30,60.3,30.3,WC,2.01,regular,288,
"Under 9.0 @ 2.10
$20.00 Single",06/30/2018 11:53:01,20,0,-20,WC,2.1,goals,268,
"Russia -1.0 @ 1.850
$18.00 Single",07/01/2018 5:12:18,18,18,0,WC,1.85,regular,268,
"Spain @ 1.80
$18.00 Single",07/01/2018 11:34:44,18,0,-18,WC,1.8,regular,250,
"Denmark +0.5 @ 1.960
$30.00 Single",07/01/2018 12:15:40,30,58.8,28.8,WC,1.96,regular,278.8,
"Denmark +0.5 @ 1.940
$20.00 Single",07/01/2018 12:48:17,20,38.8,18.8,WC,1.94,regular,297.6,
"Brazil -1.0 @ 1.810
$30.00 Single",07/02/2018 8:10:05,30,30,0,WC,1.81,regular,297.6,
"Mexico -1.0 @ 2.000
$20.00 Single",07/02/2018 8:10:24,20,40,20,WC,2,regular,317.6,
"Brazil -1.0 @ 1.800
$30.00 Single",07/02/2018 8:21:06,30,54,24,WC,1.8,regular,341.6,
"Brazil -0.5 @ 2.110
$41.60 Single",07/02/2018 15:57:15,41.6,41.6,0,WC,2.11,regular,341.6,
"France -0.5 @ 2.000
$50.00 Single",07/02/2018 16:12:02,50,100,50,WC,2,regular,391.6,
"No @ 1.66
$41.60 Single",07/02/2018 19:26:31,41.6,69.34,27.74,WC,1.66,both score,419.34,
"England -1.5 @ 1.900
$20.00 Single",07/03/2018 6:53:21,20,38,18,WC,1.9,regular,437.34,
"Antoine Griezmann @ 21.00
$4.34 Single",07/03/2018 12:26:42,4.34,0,-4.34,WC,21,regular,433,
"France -0.5 @ 1.775
$45.00 Single",07/03/2018 13:55:27,45,0,-45,WC,1.775,regular,388,
"France -1.0 @ 1.925
$38.00 Single",07/04/2018 6:06:00,38,38,0,WC,1.925,regular,388,
"England -0.5 @ 1.960
$50.00 Single",07/04/2018 6:28:48,50,98,48,WC,1.96,regular,436,
"No @ 1.61
$18.00 Single",07/05/2018 8:06:16,18,29.08,11.08,WC,1.61,both score,447.08,
"Brazil 0.0,-0.5 @ 1.840
$30.00 Single",07/05/2018 19:47:53,30,0,-30,WC,1.84,regular,417.08,
"Draw 2-2 @ 23.00
$5.00 Single",07/06/2018 6:52:16,5,5,0,WC,23,regular,417.08,
"Draw 2-2 @ 17.00
$5.00 Single",07/06/2018 6:52:51,5,0,-5,WC,17,regular,412.08,
"Brazil -0.5 @ 2.110
$24.08 Single",07/06/2018 11:11:49,24.08,0,-24.08,WC,2.11,regular,388,
"Brazil -0.5 @ 2.125
$50.00 Single",07/06/2018 11:58:05,50,0,-50,WC,2.125,regular,338,
"England -0.5 @ 1.900
$100.00 Single",07/07/2018 6:54:49,100,190,90,WC,1.9,regular,428,
"France 0.0,-0.5 @ 2.125
$100.00 Single",07/07/2018 6:57:38,100,100,0,WC,2.125,regular,428,
"No @ 1.66
$50.00 Single",07/07/2018 8:58:55,50,62.5,12.5,WC,1.66,both score,440.5,
"Under 7.5 @ 1.57
$20.00 Single",07/07/2018 15:39:17,20,31.43,11.43,WC,1.57,goals,451.93,
"France 0.0,-0.5 @ 2.125
$21.93 Single",07/07/2018 20:18:35,21.93,36.57,14.64,WC,2.125,regular,466.57,
"England 0.0,-0.5 @ 2.040
$30.00 Single",07/07/2018 20:19:05,30,15,-15,WC,2.04,regular,451.57,
"England 0.0,-0.5 @ 1.990
$20.00 Single",07/08/2018 20:38:57,20,20,0,WC,1.99,regular,451.57,
"France 0.0,-0.5 @ 2.110
$30.00 Single",07/08/2018 20:40:20,30,63.3,33.3,WC,2.11,regular,484.87,
"Belgium +0.5 @ 1.750
$30.00 Single",07/09/2018 9:57:44,30,30,0,WC,1.75,regular,484.87,
"No @ 2.00
$30.00 Single",07/10/2018 9:44:06,30,60,30,WC,2,both score,514.87,
"Raheem Sterling @ 4.00
$9.87 Single",07/10/2018 20:52:07,9.87,0,-9.87,WC,4,regular,505,
"France -0.5 @ 1.950
$65.00 Single",07/11/2018 22:46:23,65,126.75,61.75,WC,1.95,regular,566.75,
"Under 3.5 @ 1.700
$50.00 Single",07/13/2018 8:59:41,50,85,35,WC,1.7,goals,601.75,
"France -0.5 @ 2.160
$35.00 Single",07/15/2018 9:38:52,35,75.6,40.6,WC,2.16,regular,642.35,
"Draw @ 3.00
$50.00 Single (50.00 Free In-Play Bet)
Free In-Play Bet Redeemed",07/15/2018 10:01:42,50,0,-50,WC,3,regular,592.35,
"Beijing Guoan @ 1.57
$52.35 Single",07/21/2018 11:39:49,52.35,52.35,0,CSL,1.57,regular,592.35,
"Beijing Guoan @ 1.57
$22.35 Single",07/21/2018 11:40:15,22.35,35.13,12.78,CSL,1.57,regular,605.13,
"Beijing Guoan @ 1.57
$3.00 Single",07/22/2018 6:19:27,3,4.72,1.72,CSL,1.57,regular,606.85,
"Beijing Guoan @ 1.57
$27.00 Single",07/22/2018 6:19:38,27,42.43,15.43,CSL,1.57,regular,622.28,
"Beijing Guoan +0.5 @ 2.000
$12.28 Single",07/24/2018 21:03:45,12.28,0,-12.28,CSL,2,regular,610,
"Shanghai Shenhua 0.0,+0.5 @ 1.775
$50.00 Single",07/28/2018 6:55:38,50,69.38,19.38,CSL,1.775,regular,629.38,
"Shandong Luneng @ 1.66
$29.38 Single",07/30/2018 17:52:30,29.38,48.97,19.59,CSL,1.66,regular,648.97,
"Beijing Guoan -1.0 @ 1.900
$18.97 Single",08/02/2018 6:28:28,18.97,36.05,17.08,CSL,1.9,regular,666.05,
"Shandong Luneng 0.0,+0.5 @ 2.150
$26.05 Single",08/02/2018 17:34:06,26.05,41.03,14.98,CSL,2.15,regular,681.03,
"Shandong Luneng +0.5 @ 1.875
$20.00 Single",08/03/2018 20:05:16,20,37.5,17.5,CSL,1.875,regular,698.53,
"No @ 2.25
$30.00 Single",08/08/2018 21:00:48,30,67.5,37.5,CSL,2.25,both score,736.03,
"No @ 2.20
$28.53 Single",08/08/2018 21:03:20,28.53,62.77,34.24,CSL,2.2,both score,770.27,
"No @ 2.00
$30.00 Single",08/08/2018 22:49:12,30,30,0,CSL,2,both score,770.27,
"Beijing Renhe @ 2.10
$20.27 Single",08/11/2018 16:46:59,20.27,0,-20.27,CSL,2.1,regular,750,
"Shandong Luneng @ 7.00
$10.00 Single",08/13/2018 6:09:51,10,0,-10,CSL,7,regular,740,
"Under 3.0 @ 2.250
$30.00 Single",08/13/2018 17:38:35,30,30,0,CSL,2.25,goals,740,
"Under 3.0 @ 2.250
$30.00 Single",08/13/2018 19:26:09,30,30,0,CSL,2.25,goals,740,
"Tianjin Teda 0.0,+0.5 @ 1.875
$70.00 Single",08/13/2018 20:49:30,70,100.63,30.63,CSL,1.875,regular,770.63,
"PSG.LGD @ 1.50
$30.00 Single",08/14/2018 7:37:38,30,45,15,TI,1.5,regular,785.63,
"Under 101.5 @ 1.83
$30.00 Single",08/15/2018 6:45:07,30,0,-30,TI,1.83,goals,755.63,
"Tianjin Quanjian +2.5 @ 2.100
$15.63 Single",08/17/2018 8:19:04,15.63,0,-15.63,CSL,2.1,regular,740,
"Newbee @ 2.25
$20.00 Single",08/17/2018 14:24:19,20,0,-20,TI,2.25,regular,720,
"No @ 2.05
$30.00 Single",08/18/2018 6:32:12,30,0,-30,CSL,2.05,both score,690,
"Over 2.5 @ 1.600
$50.00 Single",08/20/2018 8:20:51,50,0,-50,CSL,1.6,goals,640,
"fnatic @ 1.57
$30.00 Single",08/20/2018 12:56:59,30,0,-30,TI,1.57,regular,610,
"PSG.LGD @ 1.80
$20.00 Single",08/20/2018 16:33:50,20,36,16,TI,1.8,regular,626,
"fnatic @ 1.66
$26.00 Single",08/20/2018 17:42:03,26,0,-26,TI,1.66,regular,600,
"Mineski @ 2.00
$30.00 Single",08/20/2018 19:29:29,30,60,30,TI,2,regular,630,
"Mineski @ 2.10
$30.00 Single",08/20/2018 19:30:06,30,63,33,TI,2.1,regular,663,
"Newbee @ 1.44
$23.00 Single",08/20/2018 20:57:43,23,0,-23,TI,1.44,regular,640,
"VGJ.Thunder @ 2.25
$30.00 Single",08/20/2018 22:30:51,30,0,-30,TI,2.25,regular,610,
"Over 2.5 @ 1.72
$20.00 Single",08/21/2018 6:37:14,20,0,-20,CSL,1.72,goals,590,
"Virtus Pro @ 12.00
$10.00 Single",08/22/2018 7:24:46,10,0,-10,TI,12,regular,580,
"Team Secret @ 1.72
$40.00 Single",08/22/2018 15:03:21,40,69.1,29.1,TI,1.72,regular,609.1,
"Team Secret @ 1.57
$50.00 Single",08/22/2018 15:24:32,50,0,-50,TI,1.57,regular,559.1,
"Team Secret @ 1.83
$50.00 Single",08/22/2018 17:47:19,50,91.67,41.67,TI,1.83,regular,600.77,
"Team Liquid @ 1.66
$20.00 Single",08/22/2018 20:22:49,20,0,-20,TI,1.66,regular,580.77,
"Team Liquid @ 1.90
$20.77 Single",08/22/2018 20:27:35,20.77,0,-20.77,TI,1.9,regular,560,
"OG @ 1.80
$20.00 Single",08/22/2018 23:40:58,20,0,-20,TI,1.8,regular,540,
"Team Secret @ 1.61
$30.00 Single",08/23/2018 17:21:59,30,48.47,18.47,TI,1.61,regular,558.47,
"Virtus Pro @ 1.83
$48.47 Single",08/23/2018 20:05:23,48.47,0,-48.47,TI,1.83,regular,510,
"Virtus Pro @ 2.00
$20.00 Single",08/23/2018 21:10:37,20,0,-20,TI,2,regular,490,
"OG @ 2.37
$20.00 Single",08/24/2018 17:18:20,20,0,-20,TI,2.37,regular,470,
"OG @ 2.50
$30.00 Single",08/24/2018 18:18:06,30,75,45,TI,2.5,regular,515,
"Evil Geniuses @ 2.00
$25.00 Single",08/24/2018 19:52:35,25,50,25,TI,2,regular,540,
"Evil Geniuses @ 1.90
$20.00 Single",08/24/2018 19:56:33,20,38.19,18.19,TI,1.9,regular,558.19,
"Team Liquid @ 1.57
$18.19 Single",08/24/2018 21:31:59,18.19,0,-18.19,TI,1.57,regular,540,
"Team Liquid @ 1.53
$20.00 Single",08/24/2018 21:34:09,20,0,-20,TI,1.53,regular,520,
"Under 3.0,3.5 @ 1.925
$30.00 Single",08/25/2018 6:27:34,30,0,-30,CSL,1.925,goals,490,
"Evil Geniuses @ 2.00
$20.00 Single",08/25/2018 12:58:14,20,0,-20,TI,2,regular,470,
"OG @ 2.25
$30.00 Single",08/25/2018 16:22:58,30,67.5,37.5,TI,2.25,regular,507.5,
"OG @ 2.20
$17.50 Single",08/25/2018 18:41:30,17.5,0,-17.5,TI,2.2,regular,490,
"PSG.LGD @ 1.40
$50.00 Single",08/25/2018 19:47:26,50,0,-50,TI,1.4,regular,440,
"Jiangsu Suning FC @ 1.50
$100.00 Single",08/29/2018 20:36:38,100,0,-100,CSL,1.5,regular,340,
"Shandong Luneng -0.5 @ 1.925
$50.00 Single",08/29/2018 20:38:43,50,50,0,CSL,1.925,regular,340,
"Shanghai SIPG -0.5,-1.0 @ 2.050
$50.00 Single",08/29/2018 20:55:55,50,0,-50,CSL,2.05,regular,290,
"Draw @ 5.00
$30.00 Single",09/13/2018 17:54:07,30,30,0,CSL,5,regular,290,
"Beijing Guoan @ 6.00
$20.00 Single",09/13/2018 17:54:19,20,20,0,CSL,6,regular,290,
"Beijing Guoan @ 6.00
$20.00 Single",09/13/2018 17:55:22,20,0,-20,CSL,6,regular,270,
"Beijing Guoan +1.0 @ 2.100
$30.00 Single",09/13/2018 17:55:35,30,30,0,CSL,2.1,regular,270,
"Draw @ 3.80
$30.00 Single",09/18/2018 6:26:58,30,30,0,CSL,3.8,regular,270,
"Shanghai SIPG @ 2.62
$30.00 Single",09/18/2018 6:30:58,30,30,0,CSL,2.62,regular,270,
"Shanghai SIPG 0.0 @ 1.925
$30.00 Single",09/18/2018 6:31:50,30,57.75,27.75,CSL,1.925,regular,297.75,
"Hebei CFFC -1.0 @ 1.975
$50.00 Single",09/20/2018 9:15:41,50,50,0,CSL,1.975,regular,297.75,
"Hebei CFFC -1.0 @ 1.925
$30.00 Single",09/21/2018 8:18:53,30,57.75,27.75,CSL,1.925,regular,325.5,
"Hebei CFFC @ 1.55
$20.00 Single",09/21/2018 8:19:06,20,31,11,CSL,1.55,regular,336.5,
"Under 2.5 @ 2.000
$16.50 Single",09/22/2018 22:46:56,16.5,0,-16.5,CSL,2,goals,320,
"Yes @ 1.72
$100.00 Single",09/26/2018 6:30:38,100,0,-100,CSL,1.72,both score,220,
"Arsenal @ 3.00
$20.00 Single",12/04/2018 18:36:51,20,0,-20,PL,3,regular,200,
"Arsenal @ 4.33
$10.00 Single",12/05/2018 16:24:18,10,0,-10,PL,4.33,regular,190,
"No @ 1.57
$20.00 Single",01/15/2019 17:46:54,20,31.43,11.43,AFC,1.57,both score,201.43,
"South Korea @ 1.57
$20.00 Single",01/15/2019 23:01:18,20,31.43,11.43,AFC,1.57,regular,212.86,
"China PR @ 2.00
$32.86 Single",01/17/2019 6:31:15,32.86,65.72,32.86,AFC,2,regular,245.72,
"Under 2.5 @ 1.57
$10.00 Single",01/19/2019 23:11:31,10,0,-10,AFC,1.57,goals,235.72,
"Under 2.0 @ 2.025
$10.00 Single",01/19/2019 23:11:53,10,0,-10,AFC,2.025,goals,225.72,
"No @ 1.75
$15.72 Single",01/21/2019 5:29:35,15.72,27.51,11.79,AFC,1.75,both score,237.51,
"No @ 1.75
$10.00 Single",01/21/2019 5:30:44,10,17.5,7.5,AFC,1.75,both score,245.01,
"Australia @ 1.95
$25.01 Single",01/21/2019 18:12:35,25.01,25.01,0,AFC,1.95,regular,245.01,
"Australia -0.5 @ 1.990
$20.00 Single",01/21/2019 18:13:23,20,0,-20,AFC,1.99,regular,225.01,
"Over 2.0 @ 1.775
$30.00 Single",01/23/2019 5:27:08,30,53.25,23.25,AFC,1.775,goals,248.26,
"Japan -1.5 @ 2.050
$20.00 Single",01/23/2019 21:15:44,20,0,-20,AFC,2.05,regular,228.26,
"Iran -0.5 @ 2.000
$25.01 Single",01/24/2019 10:17:41,25.01,50.02,25.01,AFC,2,regular,253.27,
"Japan 0.0,+0.5 @ 1.940
$23.27 Single",01/25/2019 9:58:35,23.27,45.15,21.88,AFC,1.94,regular,275.15,
"Japan 0.0,+0.5 @ 1.970
$10.00 Single",01/25/2019 13:38:24,10,19.7,9.7,AFC,1.97,regular,284.85,
"Japan 0.0,+0.5 @ 1.980
$20.00 Single",01/27/2019 8:33:53,20,39.6,19.6,AFC,1.98,regular,304.45,
"Over 2.0 @ 2.000
$14.45 Single",01/29/2019 8:58:27,14.45,28.9,14.45,AFC,2,goals,318.9,
"Japan 0.0,-0.5 @ 1.910
$20.00 Single",01/31/2019 17:29:32,20,20,0,AFC,1.91,regular,318.9,
